length,diameter,height,wholeweight,shuckedweight,visceraweight,shellweight,sx_F,sx_I,sx_M
0.59,0.46,145.0,0.9905,453.0,0.2205,275.0,1,0,0
595.0,455.0,0.16,1.04,452.0,0.2655,288.0,1,0,0
0.6,455.0,155.0,945.0,0.4365,0.2085,0.25,0,0,1
605.0,485.0,165.0,0.9515,0.4535,193.0,0.2765,1,0,0
605.0,515.0,0.17,1289.0,0.6,0.2945,0.3315,1,0,0
615.0,475.0,0.13,0.8425,353.0,0.1915,251.0,0,1,0
0.62,485.0,155.0,1049.0,462.0,231.0,0.25,0,0,1
0.62,435.0,155.0,1012.0,477.0,236.0,275.0,1,0,0
0.62,0.48,165.0,1.0725,0.4815,235.0,312.0,0,0,1
625.0,0.52,175.0,1.4105,691.0,322.0,0.3465,0,0,1
625.0,0.47,0.18,1136.0,451.0,0.3245,305.0,0,0,1
0.63,0.47,145.0,1.1005,0.52,0.26,276.0,0,0,1
0.63,0.5,175.0,1.1105,467.0,268.0,329.0,1,0,0
0.63,455.0,0.15,1.1315,481.0,0.2745,305.0,0,0,1
0.63,0.48,0.15,1271.0,0.6605,0.2425,0.31,0,0,1
635.0,505.0,145.0,1.1345,505.0,0.2655,315.0,1,0,0
635.0,0.51,185.0,1308.0,544.0,318.0,377.0,0,0,1
0.64,515.0,205.0,1.5335,0.6635,0.3345,0.4025,1,0,0
645.0,515.0,175.0,1546.0,0.7035,365.0,415.0,1,0,0
645.0,505.0,165.0,1318.0,0.55,0.3015,335.0,1,0,0
0.65,545.0,175.0,1.5245,0.59,326.0,495.0,1,0,0
0.65,515.0,175.0,1466.0,677.0,0.3045,0.4,0,0,1
0.65,485.0,0.14,1175.0,475.0,0.2435,215.0,0,0,1
655.0,0.54,215.0,1.5555,695.0,296.0,444.0,1,0,0
655.0,0.51,215.0,1.7835,0.8885,0.4095,0.4195,0,0,1
0.66,505.0,165.0,1374.0,589.0,351.0,345.0,0,0,1
665.0,515.0,0.18,1389.0,0.5945,324.0,395.0,1,0,0
0.67,545.0,0.2,1.7025,833.0,374.0,0.41,0,0,1
0.67,0.51,175.0,1.5265,651.0,0.4475,345.0,0,0,1
0.67,0.5,0.19,1519.0,616.0,388.0,415.0,0,0,1
0.68,515.0,0.17,1.6115,0.8415,306.0,395.0,0,0,1
0.69,525.0,0.2,1.7825,0.9165,0.3325,461.0,0,0,1
0.7,0.55,0.17,1684.0,0.7535,0.3265,0.32,1,0,0
0.7,555.0,0.2,1858.0,0.73,0.3665,595.0,0,0,1
705.0,0.56,165.0,1675.0,797.0,0.4095,388.0,0,0,1
0.72,565.0,0.2,2.1055,1017.0,363.0,494.0,0,0,1
725.0,575.0,0.24,2.21,1351.0,413.0,0.5015,0,0,1
0.74,0.57,0.18,1.8725,0.9115,427.0,446.0,0,0,1
0.75,0.55,0.18,1893.0,942.0,397.0,445.0,0,0,1
0.21,0.17,45.0,0.0475,19.0,11.0,13.0,0,1,0
285.0,0.21,55.0,101.0,0.0415,17.0,0.0335,0,1,0
0.3,0.23,85.0,117.0,0.05,0.0175,0.0415,0,1,0
335.0,255.0,0.08,168.0,79.0,0.0355,0.05,0,1,0
0.35,0.26,75.0,0.18,0.09,0.0245,55.0,0,1,0
355.0,0.27,75.0,0.1775,79.0,0.0315,54.0,0,1,0
355.0,0.26,0.09,0.1985,0.0715,0.0495,58.0,0,1,0
0.36,0.27,95.0,0.2,73.0,56.0,61.0,0,1,0
0.36,275.0,75.0,0.2205,0.0985,44.0,66.0,0,1,0
365.0,0.27,85.0,0.2225,0.0935,0.0525,66.0,0,1,0
375.0,0.28,0.08,0.2165,0.0935,0.0925,0.07,0,1,0
0.38,285.0,95.0,243.0,0.0895,0.0665,75.0,0,1,0
385.0,0.28,95.0,257.0,119.0,59.0,0.07,0,1,0
0.39,0.3,0.09,252.0,0.1065,53.0,0.08,0,1,0
0.39,285.0,0.1,281.0,0.1275,62.0,77.0,0,1,0
0.41,0.3,0.09,304.0,129.0,71.0,0.0955,0,1,0
0.41,0.3,0.09,0.28,141.0,0.0575,75.0,0,1,0
415.0,325.0,0.1,313.0,139.0,0.0625,0.0965,0,1,0
425.0,315.0,0.08,303.0,131.0,0.0585,95.0,0,1,0
0.45,0.34,95.0,0.3245,0.1385,64.0,105.0,0,1,0
0.45,335.0,0.11,0.4195,181.0,85.0,0.1345,0,1,0
0.46,355.0,0.11,0.4255,0.2015,81.0,0.13,0,1,0
465.0,0.37,0.12,0.4365,188.0,0.0815,147.0,0,1,0
465.0,345.0,0.11,393.0,0.1825,0.0735,0.12,0,1,0
0.47,355.0,125.0,499.0,0.21,0.0985,155.0,0,1,0
475.0,0.36,145.0,0.6325,0.2825,137.0,0.19,0,1,0
475.0,0.36,125.0,0.4905,205.0,0.1305,125.0,0,1,0
0.48,0.37,125.0,474.0,179.0,0.1035,175.0,0,1,0
0.48,0.37,0.12,536.0,251.0,114.0,0.15,0,1,0
0.48,355.0,0.16,464.0,221.0,106.0,239.0,0,0,1
0.49,0.4,135.0,624.0,0.3035,0.1285,169.0,0,1,0
495.0,0.4,105.0,602.0,0.2505,0.1265,0.19,0,1,0
0.5,375.0,0.14,559.0,0.2375,135.0,169.0,0,1,0
0.51,395.0,0.13,0.6025,281.0,143.0,162.0,0,1,0
515.0,0.36,125.0,0.4725,0.1815,125.0,138.0,0,1,0
515.0,0.35,105.0,0.4745,213.0,123.0,0.1275,0,1,0
515.0,395.0,125.0,0.6635,0.32,0.14,0.17,0,1,0
0.52,0.39,0.13,0.5545,0.2355,0.1095,0.1895,0,1,0
525.0,415.0,145.0,845.0,0.3525,0.1635,0.2875,0,0,1
525.0,0.39,0.12,664.0,0.3115,147.0,178.0,0,1,0
525.0,0.38,135.0,615.0,261.0,159.0,175.0,0,1,0
525.0,0.4,0.14,654.0,305.0,0.16,169.0,0,1,0
525.0,0.4,155.0,707.0,282.0,0.1605,225.0,0,0,1
0.53,0.42,0.12,0.5965,0.2555,141.0,177.0,0,1,0
0.53,0.43,135.0,0.6255,245.0,0.1455,0.2135,0,1,0
0.53,0.42,0.13,0.8365,0.3745,167.0,249.0,0,1,0
535.0,0.4,0.13,657.0,0.2835,162.0,175.0,0,1,0
0.54,0.43,0.17,836.0,0.3725,0.1815,0.24,0,1,0
0.54,425.0,0.14,742.0,0.32,0.1395,0.25,0,1,0
0.54,455.0,0.14,972.0,419.0,255.0,269.0,0,0,1
0.54,0.42,0.14,0.6275,0.2505,0.1175,235.0,0,1,0
0.54,425.0,0.13,0.7205,0.2955,169.0,225.0,0,1,0
0.54,425.0,135.0,686.0,0.3475,0.1545,213.0,0,1,0
545.0,0.4,0.13,686.0,0.3285,0.1455,0.18,0,1,0
0.55,435.0,0.14,0.7625,327.0,0.1685,259.0,0,0,1
0.55,425.0,0.15,639.0,269.0,0.1345,217.0,0,1,0
0.55,425.0,0.15,0.7665,339.0,176.0,0.21,0,1,0
555.0,395.0,0.13,0.5585,222.0,0.1245,0.17,0,1,0
555.0,435.0,0.14,765.0,0.3945,0.15,206.0,0,1,0
555.0,0.46,145.0,0.9005,0.3845,158.0,0.2765,0,1,0
0.56,445.0,0.15,0.8225,0.3685,187.0,236.0,0,1,0
0.56,425.0,135.0,849.0,0.3265,221.0,0.2645,0,0,1
565.0,0.44,125.0,802.0,0.3595,0.1825,215.0,0,0,1
565.0,0.43,0.15,831.0,0.4245,0.1735,219.0,0,0,1
0.57,0.45,135.0,0.7805,0.3345,185.0,0.21,1,0,0
0.57,435.0,0.17,848.0,0.4,166.0,0.25,0,1,0
0.57,445.0,155.0,867.0,0.3705,0.1705,0.28,0,1,0
0.57,445.0,145.0,0.7405,306.0,172.0,0.1825,0,1,0
575.0,455.0,165.0,867.0,0.3765,0.1805,268.0,0,0,1
575.0,425.0,135.0,0.7965,364.0,196.0,239.0,0,1,0
575.0,0.47,155.0,1116.0,509.0,238.0,0.34,1,0,0
575.0,0.45,125.0,0.78,0.3275,188.0,235.0,0,1,0
575.0,0.47,185.0,985.0,0.3745,0.2175,355.0,0,0,1
575.0,465.0,195.0,0.9965,417.0,247.0,0.47,1,0,0
575.0,0.45,135.0,807.0,0.3615,176.0,254.0,0,1,0
575.0,435.0,0.15,1.0305,0.4605,218.0,0.36,1,0,0
575.0,445.0,0.16,839.0,0.4005,198.0,239.0,0,0,1
0.58,0.43,0.13,798.0,365.0,173.0,0.2285,0,0,1
0.58,445.0,125.0,0.7095,303.0,0.1405,235.0,0,1,0
585.0,445.0,0.14,913.0,0.4305,0.2205,253.0,1,0,0
0.59,0.49,165.0,1207.0,559.0,235.0,309.0,0,0,1
0.59,0.45,145.0,1022.0,428.0,268.0,265.0,0,1,0
0.59,0.46,145.0,0.9015,419.0,0.1785,0.26,0,1,0
595.0,0.45,0.14,838.0,0.3965,194.0,217.0,0,0,1
595.0,0.46,0.15,0.8335,377.0,0.1925,235.0,0,1,0
0.6,0.46,155.0,0.9735,427.0,0.2045,0.3,1,0,0
0.6,475.0,0.15,1.13,575.0,196.0,305.0,1,0,0
0.6,0.48,165.0,0.9165,0.4135,0.1965,0.2725,0,0,1
0.6,0.48,0.18,1.0645,0.4495,0.2455,325.0,1,0,0
0.6,0.47,165.0,1059.0,504.0,241.0,275.0,0,0,1
0.6,0.47,0.16,1194.0,0.5625,0.3045,0.2635,0,0,1
605.0,455.0,145.0,0.9775,468.0,0.1775,275.0,1,0,0
605.0,0.47,145.0,0.8025,379.0,0.2265,0.22,0,1,0
605.0,0.48,0.14,991.0,0.4735,0.2345,0.24,1,0,0
605.0,0.47,155.0,974.0,393.0,224.0,0.3345,1,0,0
605.0,505.0,0.18,1434.0,0.7285,264.0,431.0,1,0,0
0.61,475.0,155.0,983.0,0.4565,228.0,266.0,0,0,1
0.61,485.0,0.15,1.2405,0.6025,0.2915,0.3085,1,0,0
0.61,475.0,0.16,1.1155,0.3835,223.0,379.0,1,0,0
0.61,465.0,125.0,0.9225,436.0,0.19,0.26,0,1,0
0.61,0.47,0.17,1.1185,0.5225,0.2405,0.31,0,0,1
615.0,0.47,0.16,1.0175,473.0,0.2395,0.28,0,0,1
615.0,475.0,175.0,1224.0,0.6035,261.0,311.0,0,0,1
0.62,485.0,0.18,1154.0,0.4935,256.0,315.0,0,1,0
0.62,515.0,175.0,1221.0,535.0,241.0,395.0,0,0,1
0.62,0.54,165.0,1139.0,0.4995,0.2435,357.0,1,0,0
0.62,0.49,0.16,1066.0,446.0,246.0,305.0,0,1,0
0.62,0.48,0.18,1.2215,582.0,0.2695,313.0,1,0,0
0.62,0.47,0.14,0.8565,0.3595,0.16,295.0,0,1,0
0.62,0.45,135.0,924.0,358.0,0.2265,0.2965,0,1,0
0.62,0.48,0.15,1266.0,0.6285,0.2575,309.0,0,0,1
0.62,0.48,175.0,1.0405,464.0,0.2225,0.3,1,0,0
625.0,0.49,165.0,1.1165,0.4895,0.2615,0.3325,0,0,1
625.0,475.0,0.16,1.0845,0.5005,0.2355,0.3105,0,0,1
625.0,0.5,0.17,1.0985,0.4645,0.22,354.0,0,0,1
625.0,0.47,155.0,1.1955,643.0,0.2055,0.3145,0,1,0
625.0,485.0,175.0,1362.0,0.6765,0.2615,0.3705,1,0,0
625.0,485.0,0.15,1044.0,438.0,0.2865,278.0,0,1,0
0.63,505.0,0.17,1.0915,0.4615,266.0,0.3,0,0,1
0.63,0.5,0.18,1.1965,514.0,0.2325,0.3995,1,0,0
0.63,485.0,165.0,1233.0,0.6565,0.2315,0.3035,0,0,1
0.63,495.0,175.0,1.2695,605.0,271.0,328.0,0,0,1
635.0,0.5,165.0,1489.0,715.0,0.3445,0.3615,0,1,0
635.0,0.5,0.17,1.4345,611.0,309.0,418.0,0,0,1
635.0,0.49,175.0,1.2435,0.5805,313.0,305.0,1,0,0
635.0,0.49,0.17,1.2615,0.5385,0.2665,0.38,1,0,0
0.64,505.0,165.0,1.2235,0.5215,0.2695,0.36,1,0,0
0.64,515.0,0.18,1247.0,0.5475,0.2925,0.3685,0,0,1
0.64,525.0,185.0,1707.0,763.0,0.4205,0.4435,0,0,1
645.0,505.0,0.15,1.1605,519.0,0.2615,335.0,0,0,1
645.0,0.5,175.0,1286.0,0.5645,288.0,386.0,0,0,1
645.0,0.5,0.19,1.5595,741.0,0.3715,0.3845,0,0,1
645.0,0.51,0.19,1.4745,605.0,345.0,0.48,0,0,1
645.0,0.51,195.0,1226.0,0.5885,0.2215,0.3745,0,0,1
645.0,0.51,0.16,1.33,0.6665,309.0,317.0,0,0,1
645.0,0.5,175.0,1.3375,554.0,308.0,415.0,0,0,1
645.0,0.51,0.19,1363.0,573.0,362.0,0.36,1,0,0
645.0,485.0,0.15,1.2215,0.5695,0.2735,0.33,0,0,1
0.65,495.0,155.0,1337.0,615.0,0.3195,335.0,1,0,0
0.65,505.0,0.19,1274.0,0.59,0.23,391.0,0,0,1
0.65,525.0,185.0,1488.0,665.0,337.0,378.0,0,0,1
0.65,0.51,0.16,1.3835,0.6385,0.2905,0.3665,0,0,1
655.0,505.0,195.0,1.4405,688.0,0.3805,363.0,1,0,0
0.66,0.5,165.0,1.3195,667.0,269.0,341.0,0,0,1
0.66,535.0,175.0,1.5175,711.0,0.3125,415.0,1,0,0
0.66,0.53,195.0,1.5505,0.6505,0.3295,495.0,0,0,1
665.0,525.0,175.0,1443.0,0.6635,0.3845,353.0,0,0,1
665.0,505.0,0.16,1289.0,0.6145,253.0,0.3665,0,0,1
665.0,505.0,0.16,1.2915,631.0,0.2925,0.32,1,0,0
665.0,0.52,175.0,1.3725,606.0,0.32,395.0,0,0,1
665.0,0.5,175.0,1.2975,0.6075,314.0,315.0,0,0,1
0.67,505.0,0.16,1.2585,0.6255,311.0,308.0,0,0,1
0.67,0.52,165.0,1.39,711.0,0.2865,0.3,0,0,1
0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,1,0,0
0.67,0.54,195.0,1619.0,0.74,0.3305,465.0,1,0,0
675.0,525.0,0.16,1.2835,572.0,0.2755,0.3545,0,0,1
675.0,0.51,195.0,1382.0,0.6045,0.3175,0.3965,1,0,0
0.68,0.52,195.0,1.4535,592.0,391.0,0.4125,0,0,1
0.69,0.55,0.2,1569.0,687.0,0.3675,0.46,1,0,0
0.7,565.0,175.0,1.8565,0.8445,0.3935,0.54,0,0,1
0.7,535.0,175.0,1773.0,0.6805,0.48,512.0,1,0,0
705.0,545.0,0.17,1.58,0.6435,0.4565,265.0,1,0,0
0.71,575.0,215.0,2009.0,0.9895,0.4475,502.0,0,0,1
0.71,0.54,205.0,1.5805,802.0,287.0,435.0,1,0,0
0.71,0.56,0.22,2015.0,0.9215,454.0,566.0,0,0,1
0.72,0.55,205.0,2125.0,1.1455,0.4425,511.0,0,0,1
0.72,525.0,0.18,1445.0,631.0,0.3215,435.0,1,0,0
725.0,565.0,0.21,2.1425,1.03,487.0,503.0,1,0,0
0.73,0.56,0.19,1.9425,799.0,0.5195,0.5655,1,0,0
735.0,0.59,215.0,1747.0,0.7275,403.0,557.0,0,0,1
0.74,565.0,205.0,2119.0,0.9655,0.5185,482.0,1,0,0
0.75,595.0,205.0,2.2205,1083.0,421.0,0.63,0,0,1
275.0,175.0,0.09,0.2315,96.0,57.0,0.0705,0,1,0
375.0,245.0,0.1,394.0,166.0,91.0,0.1125,0,1,0
375.0,0.27,135.0,597.0,272.0,131.0,0.1675,1,0,0
0.39,0.28,125.0,564.0,0.3035,0.0955,143.0,0,0,1
435.0,0.3,0.12,0.5965,259.0,139.0,0.1645,0,1,0
455.0,335.0,105.0,422.0,229.0,0.0865,0.1,0,1,0
455.0,325.0,135.0,0.82,0.4005,0.1715,211.0,0,1,0
455.0,345.0,0.11,434.0,207.0,0.0855,0.1215,0,1,0
485.0,365.0,105.0,0.5205,195.0,123.0,182.0,0,1,0
485.0,0.37,155.0,968.0,419.0,0.2455,0.2365,0,0,1
485.0,345.0,0.16,869.0,0.3085,185.0,319.0,0,1,0
0.5,0.37,0.15,1.0615,494.0,223.0,296.0,0,0,1
515.0,395.0,135.0,1007.0,472.0,0.2495,252.0,0,0,1
535.0,425.0,135.0,771.0,0.3765,0.1815,0.1795,1,0,0
535.0,385.0,0.18,1.0835,0.4955,0.2295,304.0,0,1,0
545.0,0.42,165.0,0.8935,0.4235,0.2195,228.0,0,1,0
545.0,415.0,0.2,1358.0,567.0,318.0,403.0,1,0,0
545.0,385.0,0.15,1.1185,0.5425,0.2445,0.2845,1,0,0
0.55,0.38,165.0,1205.0,543.0,294.0,0.3345,1,0,0
0.55,0.42,0.16,1.3405,0.6325,311.0,344.0,0,0,1
575.0,0.45,0.13,0.8145,403.0,0.1715,213.0,0,1,0
585.0,0.45,0.15,0.8915,0.3975,0.2035,253.0,0,1,0
0.6,495.0,175.0,1.3005,0.6195,284.0,0.3285,0,0,1
0.6,465.0,165.0,1038.0,0.4975,0.2205,251.0,0,0,1
605.0,475.0,175.0,1.2525,0.5575,0.3055,343.0,0,0,1
605.0,475.0,0.15,1.15,575.0,232.0,297.0,0,0,1
0.61,475.0,0.15,1.1135,0.5195,0.2575,0.3005,1,0,0
0.62,0.47,145.0,1.0865,511.0,0.2715,0.2565,0,0,1
625.0,0.49,185.0,1169.0,0.5275,0.2535,344.0,0,0,1
635.0,475.0,0.15,1.1845,533.0,307.0,291.0,1,0,0
0.64,475.0,0.14,1.0725,0.4895,0.2295,0.31,1,0,0
645.0,0.5,0.16,1.3815,672.0,326.0,315.0,0,0,1
0.65,525.0,0.19,1.6125,777.0,0.3685,0.3965,0,0,1
0.65,485.0,0.16,1.7395,0.5715,0.2785,0.3075,0,0,1
655.0,0.52,0.2,1.5475,713.0,314.0,466.0,1,0,0
655.0,545.0,0.19,1.4245,0.6325,333.0,378.0,0,0,1
675.0,0.53,175.0,1.4465,0.6775,0.33,389.0,1,0,0
695.0,0.55,185.0,1679.0,805.0,0.4015,0.3965,1,0,0
705.0,545.0,0.18,1.5395,0.6075,0.3675,0.4645,1,0,0
0.72,0.55,195.0,2073.0,1.0715,0.4265,0.5015,1,0,0
0.72,0.56,0.18,1.5865,691.0,375.0,0.4425,0,0,1
0.73,575.0,0.21,2069.0,0.9285,409.0,643.0,0,0,1
185.0,135.0,0.04,27.0,0.0105,0.0055,9.0,0,1,0
0.31,215.0,75.0,0.1275,0.0565,0.0275,36.0,0,1,0
0.34,0.26,85.0,0.1885,0.0815,0.0335,0.06,0,1,0
0.35,265.0,0.08,0.2,0.09,42.0,0.06,0,1,0
365.0,0.27,85.0,197.0,0.0815,0.0325,65.0,0,1,0
365.0,275.0,85.0,223.0,98.0,0.0375,75.0,0,1,0
365.0,0.27,75.0,0.2215,95.0,0.0445,0.07,0,1,0
405.0,0.3,0.09,269.0,103.0,67.0,0.11,0,1,0
415.0,0.31,0.1,0.2805,114.0,0.0565,0.0975,0,1,0
415.0,0.31,95.0,311.0,0.1125,0.0625,115.0,0,1,0
0.42,325.0,0.1,368.0,0.1675,0.0625,0.1135,0,1,0
0.43,0.34,0.1,0.3405,0.1395,0.0665,0.12,0,1,0
435.0,0.33,0.11,0.38,0.1515,0.0945,0.11,0,1,0
435.0,0.33,105.0,335.0,156.0,0.0555,105.0,0,1,0
435.0,345.0,0.12,0.3215,0.13,56.0,0.1185,0,1,0
445.0,0.33,0.11,358.0,0.1525,67.0,0.1185,0,1,0
485.0,0.36,0.12,0.5155,0.2465,0.1025,147.0,0,1,0
485.0,0.37,115.0,457.0,0.1885,0.0965,0.15,0,1,0
495.0,0.38,145.0,0.5,205.0,148.0,0.1505,0,1,0
0.5,0.38,0.11,0.5605,0.28,106.0,0.15,0,1,0
505.0,405.0,0.13,599.0,0.2245,0.1175,225.0,0,1,0
505.0,0.4,145.0,0.7045,334.0,0.1425,207.0,0,1,0
0.52,395.0,125.0,0.5805,0.2445,146.0,165.0,0,1,0
525.0,415.0,0.12,596.0,0.2805,0.12,0.1695,0,1,0
525.0,0.4,145.0,0.6095,248.0,159.0,175.0,0,1,0
0.53,0.43,0.14,677.0,298.0,0.0965,0.23,0,1,0
0.53,0.43,0.16,0.7245,321.0,0.1275,0.24,0,1,0
0.53,395.0,0.13,575.0,247.0,115.0,183.0,0,1,0
535.0,455.0,0.14,1.0015,0.53,0.1765,244.0,0,1,0
0.54,425.0,0.16,0.9455,0.3675,0.2005,295.0,1,0,0
0.54,0.39,125.0,0.6255,0.2525,158.0,0.19,0,1,0
545.0,0.43,0.14,687.0,0.2615,0.1405,0.25,0,1,0
555.0,0.41,125.0,599.0,0.2345,0.1465,194.0,0,0,1
555.0,0.4,0.13,0.7075,332.0,0.1585,0.18,0,0,1
555.0,0.45,175.0,738.0,304.0,0.1755,0.22,0,1,0
555.0,455.0,135.0,837.0,382.0,171.0,235.0,0,0,1
0.56,445.0,165.0,832.0,0.3455,179.0,279.0,0,1,0
565.0,445.0,125.0,0.8305,0.3135,0.1785,0.23,1,0,0
565.0,455.0,155.0,0.9355,421.0,183.0,0.26,0,0,1
565.0,435.0,145.0,0.8445,0.3975,158.0,255.0,0,1,0
565.0,0.45,0.16,895.0,415.0,195.0,246.0,0,0,1
565.0,0.46,155.0,0.8715,0.3755,215.0,0.25,0,1,0
0.57,455.0,155.0,832.0,0.3585,174.0,277.0,0,0,1
0.57,415.0,0.13,0.88,0.4275,0.1955,238.0,0,0,1
0.57,0.44,0.12,803.0,382.0,0.1525,234.0,1,0,0
575.0,0.45,155.0,0.9765,495.0,0.2145,235.0,0,0,1
575.0,435.0,135.0,992.0,432.0,0.2225,239.0,0,0,1
575.0,455.0,155.0,1013.0,0.4685,0.2085,295.0,0,0,1
575.0,445.0,145.0,876.0,0.3795,0.1615,0.27,0,0,1
575.0,475.0,145.0,857.0,0.3665,173.0,269.0,0,0,1
0.58,0.45,195.0,0.8265,0.4035,173.0,225.0,1,0,0
0.58,0.5,165.0,925.0,0.37,185.0,0.3005,1,0,0
595.0,455.0,0.15,886.0,0.4315,201.0,223.0,0,0,1
0.6,0.46,0.17,1.1805,456.0,337.0,329.0,0,0,1
0.6,475.0,0.15,0.99,386.0,0.2195,0.3105,0,0,1
0.6,465.0,0.16,1133.0,466.0,0.2885,298.0,1,0,0
605.0,0.49,165.0,1071.0,482.0,0.1935,352.0,0,1,0
605.0,455.0,145.0,862.0,334.0,0.1985,0.3,1,0,0
0.61,0.48,0.14,1031.0,0.4375,0.2615,0.27,0,0,1
0.61,0.46,145.0,1.1185,478.0,0.2945,0.2985,1,0,0
0.61,0.46,155.0,957.0,0.4255,0.1975,265.0,1,0,0
0.61,0.47,165.0,1.1785,566.0,0.2785,294.0,1,0,0
615.0,0.47,145.0,1.0285,0.4435,0.2825,285.0,0,0,1
615.0,0.47,0.15,1.0875,0.4975,283.0,0.2685,0,0,1
615.0,495.0,0.16,1255.0,0.5815,0.3195,0.3225,1,0,0
615.0,495.0,0.2,1219.0,564.0,227.0,0.3885,0,0,1
0.62,0.49,0.15,1195.0,0.4605,302.0,355.0,0,0,1
0.62,495.0,0.17,1062.0,372.0,213.0,0.34,1,0,0
0.62,0.47,0.15,1309.0,587.0,0.4405,325.0,0,0,1
625.0,495.0,155.0,1.0485,487.0,212.0,0.3215,0,0,1
625.0,515.0,0.17,1331.0,0.5725,0.3005,361.0,0,0,1
625.0,505.0,185.0,1.1565,0.52,0.2405,0.3535,0,0,1
625.0,0.52,0.18,1354.0,0.4845,351.0,375.0,1,0,0
625.0,0.47,145.0,984.0,475.0,0.2,265.0,1,0,0
0.63,0.49,155.0,1.2525,0.63,246.0,289.0,0,0,1
635.0,485.0,165.0,1.2695,0.5635,0.3065,0.3395,1,0,0
635.0,0.52,165.0,1.3405,0.5065,296.0,412.0,1,0,0
635.0,505.0,155.0,1.2895,594.0,314.0,345.0,1,0,0
635.0,0.5,165.0,1273.0,0.6535,213.0,365.0,0,0,1
635.0,515.0,165.0,1229.0,0.5055,0.2975,0.3535,0,0,1
0.64,0.53,165.0,1.1895,0.4765,0.3,0.35,0,0,1
0.64,0.48,145.0,1.1145,508.0,0.24,0.34,1,0,0
0.64,515.0,165.0,1.3115,0.4945,0.2555,0.41,1,0,0
0.64,0.49,135.0,1.1,488.0,0.2505,0.2925,0,1,0
0.64,0.49,155.0,1.1285,477.0,269.0,0.34,0,0,1
0.64,485.0,185.0,1.4195,0.6735,0.3465,0.3255,1,0,0
645.0,0.51,0.18,1.6195,0.7815,322.0,0.4675,1,0,0
645.0,0.49,175.0,1.32,0.6525,0.2375,0.3385,0,0,1
645.0,0.52,0.21,1.5535,616.0,0.3655,474.0,1,0,0
0.65,0.52,0.15,1238.0,0.5495,296.0,0.3305,0,1,0
0.65,0.51,155.0,1189.0,483.0,278.0,0.3645,1,0,0
0.65,0.51,185.0,1375.0,531.0,384.0,0.3985,1,0,0
655.0,525.0,175.0,1348.0,0.5855,0.2605,394.0,1,0,0
655.0,0.52,0.17,1.1445,0.53,223.0,348.0,0,0,1
0.66,535.0,205.0,1.4415,0.5925,0.2775,0.49,1,0,0
0.66,0.51,175.0,1218.0,0.5055,303.0,0.37,0,0,1
665.0,0.5,0.15,1.2475,0.4625,0.2955,0.3595,1,0,0
665.0,515.0,0.2,1.2695,0.5115,0.2675,436.0,0,0,1
675.0,515.0,0.15,1312.0,556.0,0.2845,0.4115,0,0,1
0.68,0.54,0.19,1623.0,0.7165,354.0,0.4715,0,0,1
0.68,0.54,155.0,1534.0,671.0,379.0,384.0,0,0,1
695.0,545.0,185.0,1.5715,0.6645,0.3835,0.4505,0,0,1
0.7,575.0,205.0,1773.0,605.0,447.0,538.0,1,0,0
0.72,575.0,0.18,1.6705,732.0,0.3605,501.0,1,0,0
0.72,565.0,0.19,2081.0,1.0815,0.4305,503.0,0,0,1
725.0,0.57,205.0,1.6195,744.0,315.0,488.0,1,0,0
0.75,0.55,195.0,1.8325,0.83,366.0,0.44,1,0,0
0.76,605.0,215.0,2173.0,801.0,0.4915,646.0,0,0,1
135.0,0.13,0.04,29.0,0.0125,0.0065,8.0,0,1,0
0.29,0.21,0.06,0.1195,56.0,0.0235,0.03,0,1,0
0.29,0.21,65.0,97.0,0.0375,22.0,0.03,0,1,0
325.0,0.25,0.07,0.1745,0.0875,0.0355,0.04,0,1,0
355.0,0.27,105.0,271.0,0.1425,0.0525,0.0735,0,1,0
0.36,0.27,85.0,0.2185,0.1065,38.0,62.0,0,1,0
0.36,0.27,85.0,196.0,0.0905,34.0,53.0,0,1,0
375.0,0.28,0.08,226.0,105.0,47.0,65.0,0,1,0
375.0,275.0,85.0,0.22,109.0,0.05,0.0605,0,1,0
395.0,0.29,95.0,0.3,158.0,68.0,78.0,0,1,0
415.0,325.0,0.11,316.0,0.1385,0.0795,0.0925,0,1,0
0.43,0.32,0.11,0.3675,0.1675,102.0,105.0,0,1,0
435.0,325.0,0.12,346.0,159.0,84.0,95.0,0,1,0
0.45,0.33,105.0,0.4955,0.2575,82.0,129.0,0,0,1
0.47,365.0,135.0,522.0,0.2395,0.1525,145.0,0,0,1
0.47,375.0,105.0,441.0,167.0,0.0865,145.0,0,1,0
505.0,0.39,0.12,653.0,0.3315,0.1385,167.0,0,0,1
505.0,385.0,115.0,0.4825,0.21,0.1035,0.1535,0,0,1
515.0,0.4,0.14,0.6335,288.0,145.0,168.0,0,0,1
0.53,0.43,0.15,741.0,325.0,0.1855,196.0,1,0,0
0.53,405.0,0.13,0.6355,0.2635,0.1565,185.0,1,0,0
545.0,0.44,0.14,0.8395,356.0,0.1905,0.2385,0,0,1
0.57,435.0,0.15,0.8295,0.3875,156.0,245.0,1,0,0
0.58,0.46,0.16,1063.0,513.0,0.2705,0.2625,0,0,1
0.59,465.0,165.0,1115.0,0.5165,273.0,275.0,0,0,1
0.6,0.45,0.14,837.0,0.37,177.0,0.2425,1,0,0
605.0,445.0,0.14,982.0,0.4295,0.2085,295.0,0,0,1
